Slno,Course,Vacant Seats,Differently Abled,College,District,College Sector,Course Sector
124,BSc - Geology,2,1,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
125,BSc - Physics,8,2,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
126,BSc - Zoology,7,1,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
127,BCom - Computer Application,0,1,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
128,BA - History,0,0,"Sree Narayana College,Chathannur",Kollam,Aided,Aided
129,BSc - Chemistry and Industrial Chemistry,26,1,"Sree Narayana College,Chathannur",Kollam,Aided,Aided
130,BSc - Mathematics,33,2,"Sree Narayana College,Chathannur",Kollam,Aided,Aided
131,BCom - Finance,0,1,"Sree Narayana College,Chathannur",Kollam,Aided,Aided
132,BA - Economics,2,2,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
133,BA - History,1,0,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
134,BA - Malayalam,0,0,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
135,BSc - Botany,0,1,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
136,BSc - Chemistry,1,2,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
137,BSc - Geology,2,0,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
138,BSc - Mathematics,28,2,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
139,BSc - Physics,6,2,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
140,BSc - Zoology,1,2,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
141,BCom - Hotel Management and Catering,0,1,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
142,BCom - Finance,0,0,"S N College, Sivagiri",Thiruvananthapuram,Aided,Aided
143,BA - Economics,18,2,"Ayyankali Memorial Arts and Science College,Punalur",Kollam,Aided,Aided
144,BA - English,25,2,"Ayyankali Memorial Arts and Science College,Punalur",Kollam,Aided,Aided
145,BSc - Mathematics,23,2,"Ayyankali Memorial Arts and Science College,Punalur",Kollam,Aided,Aided
146,BCom - Co-operation,1,2,"Ayyankali Memorial Arts and Science College,Punalur",Kollam,Aided,Aided
147,BCom - Accounts and Data Science,13,3,"Ayyankali Memorial Arts and Science College,Punalur",Kollam,Aided,Aided
148,BA - Economics,0,1,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
149,BA - History,2,0,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
150,BA - Malayalam and Mass Communication,0,2,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
151,BSc - Botany and Biotechnology,1,1,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
152,BSc - Chemistry,5,2,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
153,BSc - Mathematics,9,1,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
154,BSc - Physics,9,2,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
155,BCom - Finance,0,1,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
156,BA - English and Media Studies,0,3,"St Xaveirs College, Thumba",Thiruvananthapuram,Aided,Aided
157,BA - English,0,0,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
158,BA - Islamic History,0,0,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
159,BSc - Bio Chemistry,0,1,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
160,BSc - Botany,2,2,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
161,BSc - Chemistry,2,2,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
162,BSc - Mathematics,14,1,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
163,BSc - Physics,5,2,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
164,BSc - Zoology,0,1,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
165,BCom - Finance,0,1,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
166,BCom - Computer Application,0,2,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
167,BA - Economics and Mathematics,1,2,"T K M College Of Arts & Science,Kollam",Kollam,Aided,Aided
168,BA - Economics,3,1,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
169,BA - English,8,1,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
170,BSc - Chemistry,26,2,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
171,BSc - Chemistry and Industrial Chemistry,14,1,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
172,BSc - Mathematics,20,2,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
173,BSc - Physics,17,2,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
174,BSc - Zoology,10,2,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
175,BCom - Travel and Tourism,1,3,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
176,BCom - Computer Application,1,2,"T.K. Madhava Memorial College, Nangiarkulangara",Alappuzha,Aided,Aided
177,BA - Economics,1,0,"Bishop Jesudasan CSI Arts & Science College, Mulayara",Thiruvananthapuram,Aided,Aided
178,BA - English,0,1,"Bishop Jesudasan CSI Arts & Science College, Mulayara",Thiruvananthapuram,Aided,Aided
179,BCom - Commerce & Tax Procedure and Practice,0,2,"Bishop Jesudasan CSI Arts & Science College, Mulayara",Thiruvananthapuram,Aided,Aided
180,BA - Economics,14,2,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
181,BA - English,6,2,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
182,BSc - Chemistry,20,2,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
183,BSc - Physics,19,1,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
184,BSc - Zoology,19,2,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
185,BCom - Finance,1,2,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
186,BVoc - Software Development,18,3,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
187,BVoc - Tourism & Hospitality Management,13,3,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
188,BBA - Logistics,13,3,"St Michaels College, Cherthala",Alappuzha,Aided,Aided
189,BA - Economics,0,7,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
190,BA - English,5,0,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
191,BA - Hindi,9,2,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
192,BA - History,6,0,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
193,BA - Malayalam,2,0,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
